,user,location,tweet,created_at,original_creator,retweet
1737,FreemanFrancis6,Uganda,RT @golamsarwarbd: Always by your side! A police officer in Wuhan carried a 68-year-old man who is suspected of having #coronavirus on his…,2020-02-02 20:00:13,golamsarwarbd,1
1738,ProudIndian1986,New Delhi,"RT @sagenaradamuni: Atheism is responsible for #CoronaVirus. China has the highest number of atheists in the world.

~ Terrorist on Run, Dr…",2020-02-02 20:00:13,sagenaradamuni,1
1739,IngeGem,,"RT @sotiridi: #Update: Just in - Despite the quarantine measures of the government being in place of the #coronavirus , people in the #Zhao…",2020-02-02 20:00:13,sotiridi,1
1740,trailcrumbs,"Tucson, AZ","RT @TomValletti: #Coronavirus On a train in Italy. A teenage Chinese boy boards the train. A woman comments loudly: “There you go, we are a…",2020-02-02 20:00:13,TomValletti,1
1741,CoronavirusR,United States,RT @golamsarwarbd: Always by your side! A police officer in Wuhan carried a 68-year-old man who is suspected of having #coronavirus on his…,2020-02-02 20:00:12,golamsarwarbd,1
1742,benosmond5,Yorkshire,"RT @TomValletti: #Coronavirus On a train in Italy. A teenage Chinese boy boards the train. A woman comments loudly: “There you go, we are a…",2020-02-02 20:00:12,TomValletti,1
1743,DigiGranBiz,"Waterford, Ireland","RT @roinnslainte: For updated information on #Coronavirus go to; 

Dept. of Health: https://t.co/819SzWgGKA

HPSC: https://t.co/evsyxre2UG…",2020-02-02 20:00:12,roinnslainte,1
1744,GorseFires,Ireland,"That's clever! Pakistan has a population of 219 million people, 15 million in Karachi. Only takes a few undiagnosed… https://t.co/QrHofIjKBL",2020-02-02 20:00:11,,1
1745,MyBeauDes,Europe,Deserted #China and British Airways cancels all flights to China. #MBDAviation #MBDHealth #coronavirus #health https://t.co/Nuv3M2s8jI,2020-02-02 20:00:11,,1
1746,NaziehMoussa,"Jeddah, Saudi Arabia","RT @XHNews: In just 10 days! China builds new hospital to combat #coronavirus. With capacity of 1,000 beds, Huoshenshan hospital will bring…",2020-02-02 20:00:10,XHNews,1
1747,Shellbeeanne,"San Francisco, CA",RT @RivCoDoc: Stay informed: https://t.co/obwDPC70Tl #rivconow #ruhealth #coronavirus https://t.co/XagXdgllmT,2020-02-02 20:00:10,RivCoDoc,1
1748,HipHopMatrix,H-Town,RT @RT_com: #Wuhan hospital workers sing to the #coronavirus patients to keep their spirit up https://t.co/NEvSPEmQm1,2020-02-02 20:00:09,RT_com,1
